回答者ID,レビュー,製品,年齢,性別
47,テクノロジーから生まれたこの奇異な落し子にたいして、私にはあまりにも年を取って無理だと心配していた。しかし、甥は、言わば、農場ともいうべきところを、あちらこちら案内してくれ、それは思っていたほど難しくなかった。,製品 A,45～54歳,男性
48,使いやすさ,製品 A,25～34歳,男性
49,これには、トラック・リストを構築したり、クロスフェードするなどのようないくつかのDJ機能がある。さらにとても耐久性がある。友達は以前落としたが、まだ完全に動作する。,その他,25～34歳,男性
50,携帯性,製品 A,25～34歳,女性
51,どこにでもすべて私の音楽を持ち運んでいる,製品 D,35～44歳,男性
52,製品Aを持っている。小さなサイズと、いい音が好きです。,製品 A,35～44歳,男性
53,利便性。,製品 A,35～44歳,男性
54,一つのシンプルな、小型の携帯できる機器で、私のCDコレクションを持てることができる。,製品 A,18～24歳,女性
55,たくさんの音楽を保存することができます。,製品 A,25～34歳,女性
56,小型、軽量、そして持っていくのは簡単。,製品 A,25～34歳,女性
57,列車雑音をかき消す。軽くて持ち運びが簡単で使いやすい、音楽をダウンロードするのに、忍耐強くない。,その他,35～44歳,女性
58,これでラジオを聴けます,製品 D,25～34歳,女性
59,私の思うまま、お気に入りの音楽やプログラムを聞ける自由です。通勤が楽しくなります。,製品 A,25～34歳,男性
60,クレジットカードの大きさで、自分と一緒にあちこちに、膨大な曲のライブラリを運べることです。,製品 A,54歳以上,男性
61,高品質、耐久性、優れた音,製品 D,35～44歳,女性
62,格好よく見える。,製品 A,25～34歳,男性
63,再生を維持できる。CDを停止し、変更する必要がありません。,製品 A,18～24歳,女性
64,携帯性と製品Aの直感的な機能,製品 A,25～34歳,女性
65,音楽の選択、スキップの欠如（対CDプレーヤー）,製品 A,35～44歳,女性
66,ひとつの機器内に私の全音楽を保存できる利便性,製品 B,25～34歳,男性
67,永続するように設計されている。,製品 D,25～34歳,女性
68,大記憶容量,製品 A,18～24歳,女性
69,コンパクトな携帯プレーヤーで5000曲を格納します。,製品 A,35～44歳,男性
70,小型,製品 A,54歳以上,男性
71,使用しやすい、シンプルな機能性、エレガントなデザインと、たくさんの音楽が入り、どこにでも持ち運べること、ヘッドホン、自動車、家庭ステレオ、携帯スピーカー。,製品 A,35～44歳,男性
72,携帯できる、および耐久性,製品 B,54歳以上,男性
73,デザイン方法は、格好いいです。,製品 A,45～54歳,女性
74,素晴らしい品質,製品 D,54歳以上,男性
75,小さなサイズ。アドオンのメモリが512MBあるので、音楽を読み込んで再生するのが迅速です。また、ラジオやCDプレーヤーの外部機器から直接エンコードできます。,その他,25～34歳,男性
76,記憶容量,製品 E,18歳以下,女性
77,ソフトはとてもシャレている。,製品 A,25～34歳,男性
78,洗練されたデザイン,その他,25～34歳,女性
79,Cd中、気に入った一曲を除き、他のすべての曲をカットして、自分の好みに合った音楽の銀行を構築できるのが好きです。,製品 A,45～54歳,女性
80,小型,製品 D,35～44歳,男性
81,これはよい。,製品 D,25～34歳,女性
82,小さく、便利な機器,製品 A,35～44歳,男性
83,小さい　＆　あなたのポケットに収まる。,その他,25～34歳,女性
84,まさに素晴らしいことだ。自分の音楽のすべては、今これにダウンロードされているので、再生したいCDを探す必要がありません。本当にすばらしい。,製品 A,25～34歳,男性
85,持ち運びしやすい良質の音、,製品 A,35～44歳,女性
86,ハンディ,製品 D,25～34歳,女性
87,素晴らしい外観と使いやすいインターフェース,製品 A,25～34歳,女性
88,使いやすい。大きな画面を持っています。ソフトは使いやすく、スペースを節約するために調べたり閉じて開くことができるように、ツリー上のフォルダは設計されています。 20 GBのハードドライブ。,その他,35～44歳,女性
89,小さいながらも大きなスペース（60 GB）。ビデオでは、少しおもちゃっぽいけど、シャレてます。,製品 A,35～44歳,女性
90,色とサイズ,製品 A,25～34歳,女性
91,音楽を聴くことができるのと同様に、映画、インターネットサーフィン、など見れます,その他,25～34歳,女性
92,システム手帳のようなものでもあるので、いつも自分と一緒にこれを持ち運んでいます。,その他,45～54歳,男性
93,携帯できる音楽機器です,製品 A,25～34歳,男性
94,長い電池寿命。あなたが中断したところから、ピックアップしてこれを開始します。,製品 D,54歳以上,男性
95,きれいです。,製品 A,45～54歳,女性
96,小さくて、多くの曲や写真が入ります,製品 A,18歳以下,女性
97,とても小さいです。,その他,35～44歳,男性
98,大きなストレージ容量、またビデオも,製品 C,35～44歳,女性
99,音楽の2日分を保存する,製品 A,35～44歳,男性
100,長いバッテリー寿命。良好な音質。,製品 E,35～44歳,男性
101,携帯できる。,その他,45～54歳,女性
102,サイズ、それにFMラジオが含まれているということ,その他,25～34歳,男性
103,格好良いし、使いやすい,製品 A,18～24歳,男性
104,自分の音楽ファイルを整理しやすい。優れたバッテリー寿命。,製品 A,25～34歳,男性
105,小さくて使いやすい,その他,35～44歳,男性
106,小さくてかわいい,製品 A,45～54歳,男性
107,携帯できる。,その他,35～44歳,男性
108,よく設計されており、軽く、とても使いやすい。,製品 A,54歳以上,女性
109,いつも一緒に持って出ることができる。音質はとても良いです。,その他,54歳以上,女性
110,軽量さ、バッテリーの寿命は、長持ちする、シャレたデザインです。,製品 A,18歳以下,男性
111,コンパクトで整然とし使いやすいです。,製品 D,25～34歳,女性
112,たくさんない。ほとんどこれを使用しません。,その他,25～34歳,男性
113,携帯性です,製品 D,45～54歳,男性
114,デジタル写真を表示するための大記憶容量と良好な液晶画面,製品 C,35～44歳,男性
115,これは景品だった！,その他,35～44歳,男性
116,使いやすさ。よさそうだ。カーステレオとの互換性。,製品 A,25～34歳,男性
117,好きな時間に好きな曲を聴く。,製品 A,35～44歳,女性
118,どこに行っても聴くことができるし、どのCDを持っていくかなどと心配する必要がありません、好きなときに好きなものに耳を傾ける。また、スピーカーにつなぐことができるのが好きです。,製品 A,25～34歳,女性
119,よく見えて、とても使いやすい。,製品 A,25～34歳,女性
120,音質と自分のプレイリストを記録し、混合する機能。,製品 D,35～44歳,女性
121,記憶容量(40GB),製品 B,25～34歳,男性
122,コンパクトで防水である。,製品 B,35～44歳,男性
123,サウンドです。,製品 A,25～34歳,男性
124,サイズと付属品,製品 A,25～34歳,女性
125,無料だった,製品 B,25～34歳,女性
126,自分が好きな音楽を見つけるのが簡単です。,製品 A,45～54歳,女性
127,頑丈である。,製品 D,35～44歳,男性
128,小さく、自分の音楽がすべて入る。,製品 A,25～34歳,女性
129,サイズ,製品 A,18～24歳,女性
130,使用と携帯性の容易さ。,製品 A,25～34歳,女性
131,サイズ,その他,25～34歳,女性
132,サイズ,その他,45～54歳,男性
133,機器の小型化が好きです。大きい機器と同じようにこれを持ち歩く必要がないように、使用中、ポケットにこれを維持できます。,製品 E,35～44歳,男性
134,コンパクトな設計,その他,35～44歳,女性
135,使用方法は簡単だった,製品 A,18歳以下,男性
136,これが入る音楽ファイルの量,製品 E,18～24歳,女性
137,サイズ,製品 B,25～34歳,女性
138,音質,製品 D,54歳以上,男性
139,大好きですね。古いヘビーメタルやニューメタルや、オルタナティブを聞くことができます。電池は数日間持ちます。,製品 A,18～24歳,女性
140,コントロール方法は、理解しやすく使いやすいです。これは、よく設計された、しっかりした造りのユニットです。,製品 A,45～54歳,男性
141,携帯性,その他,25～34歳,男性
142,持ち運びが簡単、このサイズ。,製品 A,25～34歳,女性
143,コスト,製品 B,35～44歳,男性
144,サイズは、持ち歩くのに便利です。,製品 A,45～54歳,女性
145,泣いている子供のノイズをかき消すために旅行中聞く！,製品 D,35～44歳,女性
146,ストレージ容量を多くを持っています。多くの曲を収めることができます。また、とても軽量です。,製品 D,45～54歳,男性
147,飛びのない再生をしたい。また、曲をドラッグ＆ドロップする。「実際の」ステレオよりよい。,製品 A,18～24歳,女性
148,オンラインストアが素晴らしいです。また、音質が優れています。,製品 A,18歳以下,男性
149,息子は私の誕生日のためにこれを買ってくれた。かなり粋に感じる。庭いじりをしているとき、モーツァルトを聞くことが好き。軽量なのが好き。そしてデザインはとても洗練されている！,製品 A,54歳以上,男性
150,過大評価された製品Aよりも安かった,製品 E,25～34歳,男性
151,256MBのメモリがあり、約50曲が入ります。その上のさらに50曲の歌を備えた別のチップをバッグ中に持っている。これに関してイケることは、200ドルに60ドルのポータブル・キーボードを加え、他のプログラムを実行することができようにして、音楽を聞くと同様にノートをとれるようにしたことだ。私が希望すれば、ネットサーフィンや電子メールを受け取ることができる。しばらくの間、さらにこの上に、ミュージック・ビデオを入れていた!,その他,18～24歳,男性
152,小型さ,製品 D,25～34歳,男性
153,製品Aは素晴らしいです。本当にシャープなデザイン。流行おくれの挿耳型タイプではなくて、ヘッドフォンも良い。音質は同様に良いようだ。,製品 A,25～34歳,男性
154,軽いのが好きです。通勤している間、および走る場、使用しています。ランダム再生オプションが本当に好きです。,製品 A,25～34歳,女性
155,小さいサイズと使いやすさ,製品 A,25～34歳,女性
156,どこにでもこれを持っていくことができる,製品 C,25～34歳,女性
157,旅行先で、私の指先で音楽の巨大な選択をする。全ステレオを持ち歩いているかのように,製品 A,35～44歳,男性
158,小さいということが好きで、私と一緒にどこにでも持っていくことができます。また、多くの曲が入ります。現在、ほぼ500曲っている。,製品 A,35～44歳,女性
159,そうしたいと思った場合は、いつも望むものすべてを聞くことができる。,製品 D,35～44歳,女性
160,実際には息子のものですが、運動するとき、私が使っています。スリムで軽量なのが好きです。とても細く軽量である。またきれいです。,製品 D,35～44歳,男性
161,製品Aは最高です。自分のサイトから曲をドラッグアンドドロップするのは、本当に簡単だし、すべてのランダム再生のオプションが大好きです。長いバッテリー寿命もきよ。,製品 A,18歳以下,男性
162,利便性。使いやすい、私はハイテク恐怖症だ！,製品 D,35～44歳,男性
163,完全に滑らかです。製品Aよりはるかに良く、これを始動させて、列車で他の人すべてを無視するのが大好きです。,製品 E,18歳以下,男性
164,製品Aよりはるかに手頃だった。,製品 E,25～34歳,女性
165,利便性、サイズ,製品 A,25～34歳,女性
166,よい音質,その他,25～34歳,男性
167,これに入る曲の量,その他,35～44歳,男性
168,私の曲のすべてを持っているのが好き。それらのすべてを意味する、そしてさらに何億兆の余地を持っています,製品 A,25～34歳,女性
169,もちろん、明らかに携帯性です。私が行くどこにでも、小さな機器の中に私のCDコレクションすべてを入れて一緒に持っていけることが大好きです。しかも、バッテリーがとても長く続くので、長い飛行機フライトでも大丈夫なのが好きです。CDから機器に音楽をコピーするのも簡単です。,製品 A,35～44歳,女性
170,色。私の好きな色は紫です。さらに、買うことができる付属品が好きです。,製品 E,25～34歳,女性
171,私のクラシック音楽CDの6つすべてが入る。,製品 B,54歳以上,男性
172,ポータブルでコンパクトです。そう、CDはもはや不要,製品 A,35～44歳,女性
173,ユーザーフレンドリー,製品 A,25～34歳,男性
174,実用的かつファンシー！,製品 A,25～34歳,男性
175,単一の場所で音楽,製品 A,54歳以上,男性
176,サイズ。重量。シンプル。曲をダウンロードするノートパソコンに直接接続,その他,35～44歳,男性
177,使いやすさ,製品 D,35～44歳,男性
178,私を失望させることはない。私の老化した耳のため、大音量を持っています。,製品 E,45～54歳,男性
179,多くの歌の余地、洗練されたデザイン、ソフトはPCの上の音楽の管理のために最適です。,製品 A,25～34歳,男性
180,40ギガバイト,その他,35～44歳,男性
181,これには本当によい音がある。製品Aの使用経験がある私には、悪い音ではない。人々は製品Aは本当にシャレていると思うだろうが、製品D.のデザインにとてもはるかに満足している。,製品 D,45～54歳,男性
182,高品質なサウンド,製品 A,54歳以上,男性
183,どんな場所でも聞くことができる。また、スピーカー・システムに接続できる。小さい。また、ダイニングルームの中に巨大なサウンド・システムを持たずに、友達と夕食中に音楽を演奏できる。,製品 A,25～34歳,女性
184,私と一緒に周りの私のCDをドラッグする必要がないこと,製品 B,35～44歳,女性
185,サイズ。これはビートを取ることができ、任意の耳障りな音楽がすべてでスキップすることはありません。また、首の周りに着用するのに十分小さいです。このようにすべてが変換したことは、運動とジョギングをするのを容易にしました。,製品 E,25～34歳,男性
186,素晴らしい音質,製品 A,35～44歳,男性
187,これはイケてる。先生もヘッドフォンのケーブルを見ることはできません。,製品 D,18歳以下,男性
188,写真の機能。私のスライドショーを見ることができます。,製品 A,54歳以上,女性
189,私の考えを集め、一日のストレスからエスケープする時間を与えてくれます。電車に乗りながら、くつろぎ、リラックスし、家庭生活に移行させてくれます。,その他,35～44歳,男性
190,輸送が容易,製品 D,18歳以下,女性
191,CDを持ち歩く必要がありません。,製品 B,18歳以下,女性
192,踊りやすいキャッチーなビートを持っています。,製品 D,35～44歳,女性
193,使いやすさ、デザイン,製品 A,35～44歳,女性
194,容量,製品 A,35～44歳,男性
195,安かった,製品 D,45～54歳,男性
196,小型,製品 A,18歳以下,男性
197,音質は強烈で、私のCDのすべてが入ります。,製品 A,18歳以下,男性
198,明らかに音楽を聞くことができるので、好きです。,製品 B,45～54歳,女性
199,プレイリスト機能では、私達のパーティーのために自分のプレイリストを作成できます。,製品 A,18～24歳,男性
200,かわいい緑の色。,製品 A,25～34歳,女性
201,これは振動する。インターネットから音楽をダウンロードすることができる。,製品 A,18～24歳,男性
202,アナログです,その他,35～44歳,女性
203,サウンド品質,製品 E,45～54歳,男性
204,お気に入りをすべてロードすることができ、音楽を使い果たすことができない。それにこれほど多くのスペースがあるので、前の音楽のうちのいくらかを削除する必要なしに、新しい曲をロードすることができる。いつでも音楽の全体のライブラリーを持ち合わせている。,製品 A,25～34歳,男性
205,これには自分の音楽がすべて入るし、小さい。,製品 E,25～34歳,女性
206,自分の音楽をすべて輸送するのが簡単。,製品 A,35～44歳,男性
207,デザイン,製品 A,54歳以上,女性
208,小型、軽量で、持ち運びが簡単です,製品 D,25～34歳,女性
209,私の財布またはポケットに収める方法がいかに簡単かというのが好き,製品 E,54歳以上,女性
210,これに私の音楽のすべてを置くことができます。,製品 C,54歳以上,男性
211,音,その他,25～34歳,男性
212,良い可動性,製品 B,45～54歳,男性
213,コンパクトなサイズ,製品 B,45～54歳,男性
214,信頼できる,製品 A,35～44歳,男性
215,プレゼントとして私に与えられた。したがって、これがただ好きである。,製品 E,54歳以上,女性
216,グッドデザイン。使いやすい。,製品 D,25～34歳,男性
217,私の音楽のすべてがこれに収まる。,製品 A,45～54歳,女性
218,たくさんの音楽が入るキャパシティ、使いやすさ、シャレたインナーイヤー型,製品 A,54歳以上,男性
219,私の手のひらの上で快適にフィット,その他,35～44歳,女性
220,私が可能な合で、フランクとディーンを聞くために家のまわりで働くとき、使用します。,製品 D,54歳以上,女性
221,私を再び若く感じさせる!,製品 B,54歳以上,女性
222,小さく軽い。したがって、運んでいることを忘れる。,製品 A,18～24歳,男性
223,記憶容量,製品 A,25～34歳,女性
224,装置とソフトのコンパクトなデザインはとてもユーザー・フレンドリーで、インストールするのが簡単だった。,製品 D,18～24歳,男性
225,携帯できる。,その他,25～34歳,男性
226,その格好よさ,製品 A,18歳以下,男性
227,小さいが、多くの音楽が入る,製品 A,35～44歳,女性
228,大記憶容量,製品 A,25～34歳,女性
229,格好が良くよい音。,その他,25～34歳,男性
230,とても小さいので、運動している間、これを着ることができます。,製品 A,45～54歳,女性
231,私の子どもの音楽をすべて入れることができる。息子が気難しくなる場合、常に、我々がそうである場合、私はそれを引き抜くことができる。また、直ちに、息子は冷やされる。,製品 A,35～44歳,女性
232,安い、FMラジオがある。,製品 B,45～54歳,男性
233,小型で軽量です,製品 A,25～34歳,女性
234,ハンディ,製品 E,35～44歳,男性
235,仕事へ行く途中で音楽を聞くのにハンディ。,製品 D,45～54歳,男性
236,どこでも私が好むところでこれを取ることができる,製品 D,18～24歳,男性
237,プレイリストを編集することができます,製品 C,45～54歳,女性
238,スタイルと使いやすさを,製品 A,25～34歳,女性
239,小サイズと大容量,製品 A,35～44歳,男性
240,ヘッドホーンはよい。　歌に失われた,製品 A,18歳以下,男性
241,小さい、長いバッテリー寿命、そして良い音,製品 D,25～34歳,女性
242,曲の多くを保存することができます,製品 D,45～54歳,女性
243,そのサイズ。,製品 A,35～44歳,男性
244,使用するのが簡単です。また、その外観が好き。,製品 A,25～34歳,男性
245,複数のフォーマット。大きなハードディスク。優れたバッテリー寿命と充電速度。良いダウンロード速度。,製品 B,18～24歳,男性
246,多くの歌が入る。,製品 A,18歳以下,女性
247,青です,製品 A,18～24歳,男性
248,使用方法を理解できる。,製品 E,54歳以上,男性
249,使いやすい小ささ、マルチ目的,その他,18～24歳,女性
250,どこでも使用するのに十分小さい,製品 A,54歳以上,男性
251,信じられないほど小さい,製品 A,25～34歳,女性
252,我々はどこにでも使用できます,その他,35～44歳,男性
253,素晴らしい音,製品 B,45～54歳,男性
254,特別なことは何もない。すべてうまくいく。,製品 A,35～44歳,男性
255,多目的です。また、音楽を簡単に変更できます。アダプターに接続すると、メモリカードは、別のハードドライブのように見えます。,その他,45～54歳,男性
256,よい外観,製品 A,35～44歳,女性
257,その大きさは、教師に耳を傾ける必要がないことを意味します。,製品 C,18歳以下,女性
258,小型、大容量、使いやすい,製品 B,45～54歳,男性
259,サイズは、働く間に、聞くことができることを意味する。,製品 B,25～34歳,男性
260,使用することはとても便利で、単純であると分かる。,製品 A,35～44歳,男性
261,使いやすく、私のオルタナティブロックの歌はそれで素晴らしいサウンド！,製品 A,25～34歳,女性
262,何曲の歌が入るか,製品 A,35～44歳,女性
263,素晴らしいく小さいですし、私のハンドバッグに収まる。,その他,35～44歳,男性
264,ポータブルカセットプレーヤーを使用していたが、最後に壊れた。製品Aには、取得するブランドになるように見えた。実際に軽量だが好きです。また、テープの場合と比べて、曲から曲への飛ばし方が、簡単です。,製品 A,45～54歳,男性
265,小型さ,製品 E,35～44歳,男性
266,サイズ,製品 D,25～34歳,女性
267,あなたが音楽にたいして持っていた関係を変えます。音楽に長い時間やCD、テープ、またはビニールで起こったことがないことを聞いてきた。,製品 A,25～34歳,男性
268,音楽をダウンロードするソフトウェアをいじる必要がないということのよう。ちょうどメモリカードに私の曲をドラッグし、インチプラグインすることができます,その他,45～54歳,男性
269,これでたくさんの音楽を置くことができ、これは見た目にもシャレている,製品 A,18～24歳,女性
270,音質,製品 B,18～24歳,男性
271,体育館で、音楽を聞くことができ、CDがスキップしたり、CDを切り替えるたり心配しなくて済むので好きです。,製品 A,25～34歳,女性
272,Webからダウンロードしたコメディクリップに耳を傾け、カスタムプレイリストを作成,製品 A,25～34歳,男性
273,何もない,製品 B,18歳以下,女性
274,よく長距離トラックの運転手である私は、そこに耳を傾ける音楽が常にあると、私のお気に入りの曲がオンになるときに、大声で実際の音量を上げることができることが本当に好きです。,その他,54歳以上,男性
275,FMチューナー内蔵,製品 E,35～44歳,男性
276,容易に携帯でき、私が地元のコーヒーショップで働いている間、一緒にそれを持っていることが好き。,製品 A,25～34歳,女性
277,サイズ,その他,45～54歳,男性
278,簡単に私と一緒にさまざまな音楽を運ぶことができるよう。新しい放送機能も素晴らしいです。,製品 A,25～34歳,女性
279,多くのストレージ、本を聞いて、一ヶ所に私の音楽のすべてを格納する機能、プレイリスト,製品 A,35～44歳,女性
280,保存できる曲数。,製品 A,25～34歳,女性
281,別々のコンピュータを使用してアクセスできます。また、旅行のためにとてもコンパクトです。,製品 B,25～34歳,女性
282,小さな足跡,製品 D,54歳以上,男性
283,離散サイズ。,その他,35～44歳,男性
284,素晴らしい音楽の質,製品 D,45～54歳,女性
285,小型,製品 A,25～34歳,女性
286,自分のサイトに自分の好きなだけ楽曲を購入することができます。,製品 A,18歳以下,男性
287,メモリ,製品 A,25～34歳,女性
288,とても便利、どんな場所でもこれをって行く取ことができる。,製品 D,25～34歳,男性
289,ピンクである。,その他,25～34歳,女性
290,小さなサイズ、大きな容量,製品 A,25～34歳,女性
291,多くの曲が入るので、再生されているアルバムや曲、そしてどのアーティストかということを言うことができる,製品 A,25～34歳,女性
292,色,その他,54歳以上,男性
293,市場に出ている今までで最も小さく、最も信頼できて、最良の製品。,製品 A,25～34歳,男性
294,使いやすさ,製品 D,45～54歳,男性
295,ハンドサイズの携帯性,製品 A,25～34歳,女性
296,デザインとシンプルさ,製品 A,25～34歳,男性
297,センスがある,製品 A,25～34歳,男性
298,標準的な電池を使用しています,製品 D,54歳以上,男性
299,歌のロードが入り、使いやすいです。,製品 A,25～34歳,男性
300,驚くべきことに思えます、また、音楽すべてを私に利用可能にしてくれるのが大好きです。,製品 E,54歳以上,女性
301,製品Aのように高価ではない,その他,35～44歳,男性
302,素晴らしい音。,製品 B,35～44歳,女性
303,それが充電することができると、すべての音楽としてのCDを運ぶ必要がない、既にそれにロードされているという事実。,製品 B,25～34歳,女性
304,音楽カタログは、他のものより優れている,製品 B,25～34歳,男性
305,バグフリー、使いやすさ,製品 A,25～34歳,男性
306,非常にスタイリッシュで使いやすい。,製品 A,35～44歳,男性
307,それが非常に小さいのが好き。またプレイできるゲームが好き,製品 A,54歳以上,女性
308,音楽、映画＆写真を含む、それが提供する様々な機能を好き,製品 C,18～24歳,女性
309,何でも聞くことができる!,その他,25～34歳,女性
310,機器の色,製品 A,45～54歳,男性
311,サイズと重量,製品 B,25～34歳,男性
312,良質な音,製品 A,25～34歳,女性
313,その非常な軽さ！,その他,45～54歳,男性
314,大きなドライブが鍵です,その他,35～44歳,男性
315,小さいサイズ、記憶域の量、色、スタイルとデザイン,製品 A,18～24歳,女性
316,それは、ポータブル,製品 A,25～34歳,女性
317,サイズ,その他,25～34歳,女性
318,利便性,製品 D,25～34歳,男性
319,コマーシャルをすべて見た後、電車の中で製品Aを持った中の人々に会い、ついに屈服した。,製品 A,25～34歳,男性
320,どこにいてもあなた自身の音楽を聴くことができます,製品 D,35～44歳,男性
321,小型で軽量、長いバッテリー寿命、音質の良さです。,その他,25～34歳,男性
322,サイズ,製品 A,35～44歳,女性
323,"帽子オフ（再び）。私が最新のものを買うたびにアップグレードされます。（そこで古いものは友人をあげたり、オンラインで売る。）ビデオと写真機能付きの最新バージョンは素晴らしいです。それに加えて軽量化と薄型化だと15,000曲が入ります。私にとって、ウェブ上の曲へアクセスできることは、すべての違いになります。デジタル音楽を手にする最良のソースです。",製品 A,25～34歳,男性
324,形、機能、メモリ、使いやすさ,製品 A,35～44歳,男性
325,美しく見えるし、使いやすいです。,製品 A,35～44歳,女性
326,個人的なカセットプレーヤーよりも、より小型で軽量化されている。,その他,35～44歳,男性
327,スタイル,その他,35～44歳,女性
328,携帯性,その他,18～24歳,女性
329,サイズ,製品 A,25～34歳,男性
330,私にとってオルガナイザーの一部で、ハードウェアを持ち歩く必要がありません。,その他,35～44歳,男性
331,取り外し可能なメモリカードを使用しています。,その他,45～54歳,男性
332,音楽を再生する,製品 A,25～34歳,男性
333,軽量で頑丈です。,製品 C,35～44歳,男性
334,よく設計されたインターフェースと大容量が好きです。,製品 A,18歳以下,男性
335,サイズが最適です。,その他,25～34歳,男性
336,格好よく見える,製品 A,25～34歳,女性
337,これは格好よく見える、ガジェットが好きで、長い車の旅行で私と一緒にすべての私の音楽を持っているようなもの,製品 A,35～44歳,男性
338,コンパクトで良好な音質,製品 D,35～44歳,女性
339,それは小さいにもかかわらず、よい音質がある。,製品 A,54歳以上,女性
340,私が好きな曲だけを聞くことができます。,製品 B,25～34歳,男性
341,そのは私が今まで持っていたすべての機器の最高の音質を得た,製品 D,45～54歳,男性
342,これは小さい。したがって、誰も、私がそれを働いて聞いていることに気づかない。,製品 D,18～24歳,男性
343,移動するトラックのスキップなし。,製品 A,18～24歳,女性
344,操作が簡単、軽量、多くのメモリスペース,製品 A,25～34歳,女性
345,製品Aよりも安くはちょうど音楽を聴くことにしたい。私のささやかなニーズに最適なビデオ、ムービーなどは必要ありません。,製品 D,35～44歳,男性
346,私が働いている間、聞くことができ、退屈するのを止める,製品 E,54歳以上,男性
347,スタイルと携帯性,製品 E,25～34歳,男性
348,小型ですっきりしていて、私と一緒に持ち歩くのが簡単,製品 B,35～44歳,女性
349,退屈しないように、側に私のすべてのお気に入りの音楽を持てることができて、とても使いやすいです,製品 D,18歳以下,女性
350,これほど多くの記憶装置がある!,製品 A,25～34歳,女性
351,製品Aは小さい、しかしトラック用の大容量です。,製品 A,35～44歳,男性
352,それはスマートです。,製品 A,18～24歳,女性
353,それは小さくて運ぶのが簡単です,製品 A,45～54歳,女性
354,スタイリッシュ,その他,45～54歳,男性
355,音質,製品 D,35～44歳,男性
356,常に、望むところで、音楽を聞くことができる。,製品 C,18～24歳,女性
357,小さいサイズ,製品 D,35～44歳,女性
358,ストレージ容量の大規模な量だけでなく、使いやすさが主な要因です。また、製品の洗練された外観が好きです。,製品 A,35～44歳,男性
359,大容量！素敵なデザインと使いやすい。,製品 A,35～44歳,男性
